event_id,n_imgs,has_target,n_det,in_sidewalk_any,in_bike_lane_any,in_roadway_any,dominant_space,wrong_way,direction,cos_to_flow
0,1,False,,,,,,,,
1,2,False,,,,,,,,
2,1,False,,,,,,,,
3,2,False,,,,,,,,
4,2,False,,,,,,,,
5,1,False,,,,,,,,
6,2,False,,,,,,,,
7,3,False,,,,,,,,
8,2,True,1.0,False,True,False,bike_lane,,,
9,3,False,,,,,,,,
10,2,False,,,,,,,,
11,1,True,2.0,False,False,True,roadway,,,
12,2,False,,,,,,,,
13,2,False,,,,,,,,
14,4,True,3.0,False,True,False,bike_lane,False,along_flow,0.9809659257926209
15,2,True,1.0,False,True,False,bike_lane,,,
16,2,False,,,,,,,,
17,2,False,,,,,,,,
18,1,False,,,,,,,,
19,2,True,1.0,False,True,False,bike_lane,,,
20,1,False,,,,,,,,
21,1,False,,,,,,,,
22,3,False,,,,,,,,
23,2,False,,,,,,,,
24,3,False,,,,,,,,
25,1,False,,,,,,,,
26,1,False,,,,,,,,
27,2,False,,,,,,,,
28,2,False,,,,,,,,
29,2,True,1.0,False,True,False,bike_lane,,,
30,1,False,,,,,,,,
31,1,True,1.0,False,True,False,bike_lane,,,
32,1,False,,,,,,,,
33,2,False,,,,,,,,
34,2,True,2.0,False,True,False,bike_lane,False,along_flow,0.9481510628276575
35,2,True,3.0,True,False,False,sidewalk,True,against_flow,-0.6609957337586247
36,2,False,,,,,,,,
37,1,False,,,,,,,,
38,2,False,,,,,,,,
39,1,False,,,,,,,,
40,2,False,,,,,,,,
41,1,False,,,,,,,,
42,1,False,,,,,,,,
43,1,False,,,,,,,,
44,2,False,,,,,,,,
45,1,False,,,,,,,,
46,1,False,,,,,,,,
47,2,False,,,,,,,,
48,2,False,,,,,,,,
49,2,False,,,,,,,,
50,2,False,,,,,,,,
51,1,False,,,,,,,,
52,1,False,,,,,,,,
53,3,False,,,,,,,,
54,2,True,1.0,False,True,False,bike_lane,,,
55,2,False,,,,,,,,
56,1,False,,,,,,,,
57,2,True,2.0,False,True,False,bike_lane,,,
58,2,False,,,,,,,,
59,1,False,,,,,,,,
60,2,False,,,,,,,,
61,2,False,,,,,,,,
62,2,False,,,,,,,,
63,2,True,2.0,False,True,False,bike_lane,,,
64,4,False,,,,,,,,
65,2,False,,,,,,,,
66,2,False,,,,,,,,
67,1,True,1.0,False,True,False,bike_lane,,,
68,2,False,,,,,,,,
69,1,False,,,,,,,,
70,1,True,2.0,False,True,False,bike_lane,,,
71,1,False,,,,,,,,
72,1,False,,,,,,,,
73,2,True,3.0,True,False,False,sidewalk,,,
74,1,True,2.0,False,True,False,bike_lane,,,
75,1,False,,,,,,,,
76,2,False,,,,,,,,
77,2,False,,,,,,,,
78,2,True,2.0,False,True,False,bike_lane,,,
79,1,False,,,,,,,,
80,4,True,1.0,True,False,False,sidewalk,,,
81,1,False,,,,,,,,
82,2,True,1.0,True,False,False,sidewalk,,,
83,2,True,1.0,False,True,False,bike_lane,,,
84,2,True,1.0,True,False,False,sidewalk,,,
85,2,False,,,,,,,,
86,2,True,1.0,False,True,False,bike_lane,,,
87,1,False,,,,,,,,
88,2,True,1.0,True,False,False,sidewalk,,,
89,2,False,,,,,,,,
90,1,False,,,,,,,,
91,2,True,1.0,False,True,False,bike_lane,,,
92,1,False,,,,,,,,
93,1,False,,,,,,,,
94,2,True,2.0,True,False,False,sidewalk,True,against_flow,-0.8209903165434003
95,2,False,,,,,,,,
96,1,True,1.0,False,True,False,bike_lane,,,
97,4,True,1.0,True,False,False,sidewalk,,,
98,2,False,,,,,,,,
99,1,False,,,,,,,,
100,2,False,,,,,,,,
101,4,True,1.0,False,True,False,bike_lane,,,
102,1,False,,,,,,,,
103,1,False,,,,,,,,
104,2,False,,,,,,,,
105,1,False,,,,,,,,
106,2,True,2.0,False,True,False,bike_lane,,,
107,2,False,,,,,,,,
108,1,False,,,,,,,,
109,1,False,,,,,,,,
110,1,False,,,,,,,,
111,2,False,,,,,,,,
112,2,False,,,,,,,,
113,2,False,,,,,,,,
114,1,False,,,,,,,,
115,1,False,,,,,,,,
116,2,False,,,,,,,,
117,1,False,,,,,,,,
118,2,False,,,,,,,,
119,2,True,1.0,False,True,False,bike_lane,,,
120,1,False,,,,,,,,
121,2,False,,,,,,,,
122,2,False,,,,,,,,
123,1,True,1.0,False,True,False,bike_lane,,,
124,1,False,,,,,,,,
125,2,True,1.0,True,False,False,sidewalk,,,
126,1,False,,,,,,,,
127,1,False,,,,,,,,
128,1,False,,,,,,,,
129,2,True,4.0,False,False,True,roadway,,,
130,1,True,1.0,True,False,False,sidewalk,,,
131,1,False,,,,,,,,
132,2,True,1.0,False,True,False,bike_lane,,,
133,1,False,,,,,,,,
134,1,False,,,,,,,,
135,2,True,2.0,False,False,True,roadway,,,
136,2,False,,,,,,,,
137,2,False,,,,,,,,
138,3,False,,,,,,,,
